% Measurements of a DFIG system - provided by Prof. Erlich
% t,V_T(pu),angle(rad),angle(°),P_e(pu),Q_e(pu),IPA_r,IQA_r
0.121,0.618636363636364,0.025591,1.4663,0.242766666666667,0.581055555555556,3.5691,3.2215
0.122,0.612787878787879,0.019017,1.0896,0.231155555555556,0.558333333333333,3.6681,2.8247
0.123,0.606878787878788,0.013158,0.75389,0.220544444444444,0.535844444444444,3.7462,2.4147
0.124,0.600909090909091,0.0080625,0.46195,0.210944444444444,0.513622222222222,3.8015,1.9921
0.125,0.594939393939394,0.0037838,0.2168,0.202433333333333,0.491711111111111,3.8323,1.5578
0.126,0.588939393939394,0.00037654,0.021574,0.195033333333333,0.470166666666667,3.8366,1.113
0.127,0.582969696969697,-0.0021036,-0.12053,0.1888,0.449077777777778,3.8127,0.65936
0.128,0.577030303030303,-0.0036012,-0.20633,0.183777777777778,0.428533333333333,3.7591,0.1988
0.129,0.571181818181818,-0.004063,-0.23279,0.180022222222222,0.408633333333333,3.6745,-0.26615
0.13,0.565454545454545,-0.0034402,-0.19711,0.177555555555556,0.3895,3.5578,-0.73249
0.131,0.559909090909091,-0.0016911,-0.096893,0.176422222222222,0.371255555555555,3.4088,-1.1968
0.132,0.554545454545455,0.0012155,0.069643,0.176633333333333,0.354044444444444,3.2275,-1.655
0.133,0.549454545454546,0.0052969,0.30349,0.178211111111111,0.338,3.015,-2.1029
0.134,0.54469696969697,0.010553,0.60464,0.181144444444444,0.323288888888889,2.7733,-2.5356
0.135,0.54030303030303,0.016963,0.9719,0.185422222222222,0.310044444444444,2.5053,-2.9483
0.136,0.536363636363636,0.024482,1.4027,0.191,0.2984,2.2152,-3.336
0.137,0.532878787878788,0.033041,1.8931,0.197833333333333,0.288477777777778,1.9082,-3.694
0.138,0.529909090909091,0.042546,2.4377,0.205844444444444,0.280377777777778,1.5901,-4.0181
0.139,0.527484848484848,0.05288,3.0298,0.214933333333333,0.274177777777778,1.2677,-4.3044
0.14,0.525666666666667,0.063906,3.6616,0.225,0.269888888888889,0.94743,-4.5504
0.141,0.524393939393939,0.075475,4.3244,0.2359,0.267522222222222,0.63553,-4.7541
0.142,0.523727272727273,0.087427,5.0092,0.247522222222222,0.267044444444444,0.33726,-4.9148
0.143,0.523606060606061,0.099606,5.707,0.259711111111111,0.268388888888889,0.056605,-5.0329
0.144,0.524,0.11186,6.4089,0.272344444444444,0.271455555555556,-0.20387,-5.1095
0.145,0.524909090909091,0.12403,7.1066,0.285266666666667,0.276133333333333,-0.44293,-5.1466
0.146,0.526272727272727,0.13601,7.7928,0.298366666666667,0.282277777777778,-0.66047,-5.1466
0.147,0.528030303030303,0.14767,8.461,0.311511111111111,0.289755555555556,-0.85717,-5.1127
0.148,0.530121212121212,0.15892,9.1057,0.324588888888889,0.298411111111111,-1.0343,-5.0481
0.149,0.532545454545455,0.16969,9.7223,0.337511111111111,0.308088888888889,-1.1932,-4.9561
0.15,0.535242424242424,0.1799,10.307,0.350177777777778,0.318633333333333,-1.3354,-4.8401
0.151,0.538121212121212,0.18951,10.858,0.362522222222222,0.3299,-1.4626,-4.7034
0.152,0.541212121212121,0.1985,11.373,0.374466666666667,0.341755555555555,-1.576,-4.5493
0.153,0.544393939393939,0.20684,11.851,0.385966666666667,0.354055555555555,-1.677,-4.3807
0.154,0.54769696969697,0.21453,12.292,0.396977777777778,0.366677777777778,-1.7666,-4.2003
0.155,0.551060606060606,0.22157,12.695,0.407455555555556,0.3795,-1.846,-4.0109
0.156,0.554454545454545,0.22795,13.061,0.417388888888889,0.392433333333333,-1.9158,-3.8145
0.157,0.557848484848485,0.23371,13.391,0.426744444444444,0.405366666666667,-1.9771,-3.6133
0.158,0.561242424242424,0.23885,13.685,0.435511111111111,0.418211111111111,-2.0303,-3.4091
0.159,0.564606060606061,0.24341,13.946,0.443688888888889,0.430911111111111,-2.0762,-3.2035
0.16,0.567878787878788,0.24739,14.174,0.451255555555556,0.443388888888889,-2.1153,-2.9978
0.161,0.571121212121212,0.25083,14.371,0.458244444444444,0.455577777777778,-2.1479,-2.7933
0.162,0.574242424242424,0.25375,14.539,0.464633333333333,0.467444444444444,-2.1746,-2.5909
0.163,0.57730303030303,0.25618,14.678,0.470444444444444,0.478944444444444,-2.1958,-2.3915
0.164,0.580272727272727,0.25815,14.791,0.475677777777778,0.490033333333333,-2.2116,-2.1959
0.165,0.583121212121212,0.25968,14.879,0.480366666666667,0.500688888888889,-2.2226,-2.0045
0.166,0.585848484848485,0.2608,14.943,0.4845,0.5109,-2.2288,-1.818
0.167,0.588484848484849,0.26153,14.985,0.488111111111111,0.520633333333333,-2.2306,-1.6367
0.168,0.590969696969697,0.2619,15.006,0.491222222222222,0.529888888888889,-2.2282,-1.4609
0.169,0.593363636363636,0.26193,15.008,0.493833333333333,0.538655555555556,-2.2218,-1.2909
0.17,0.595636363636364,0.26164,14.991,0.495966666666667,0.546922222222222,-2.2116,-1.1269
0.171,0.597818181818182,0.26106,14.958,0.497644444444444,0.5547,-2.1978,-0.96888
0.172,0.599848484848485,0.2602,14.909,0.4989,0.561988888888889,-2.1805,-0.81708
0.173,0.601757575757576,0.25909,14.845,0.499733333333333,0.568777777777778,-2.1599,-0.67152
0.174,0.603575757575758,0.25774,14.767,0.500177777777778,0.575088888888889,-2.1362,-0.53224
0.175,0.605272727272727,0.25617,14.677,0.500233333333333,0.580922222222222,-2.1095,-0.39924
0.176,0.606848484848485,0.25439,14.576,0.499944444444444,0.586277777777778,-2.08,-0.27251
0.177,0.60830303030303,0.25243,14.463,0.499311111111111,0.591188888888889,-2.0478,-0.15202
0.178,0.609666666666667,0.2503,14.341,0.498355555555555,0.595633333333333,-2.0131,-0.037723
0.179,0.610939393939394,0.24802,14.21,0.4971,0.599655555555556,-1.976,0.070419
0.18,0.612090909090909,0.24559,14.071,0.495555555555556,0.603244444444445,-1.9366,0.17247
0.181,0.613121212121212,0.24303,13.924,0.493755555555556,0.606422222222222,-1.895,0.26849
0.182,0.614090909090909,0.24035,13.771,0.4917,0.609188888888889,-1.8515,0.35855
0.183,0.614939393939394,0.23757,13.612,0.489422222222222,0.611577777777778,-1.8062,0.44272
0.184,0.61569696969697,0.2347,13.447,0.486922222222222,0.613577777777778,-1.7591,0.52107
0.185,0.616393939393939,0.23175,13.278,0.484222222222222,0.615222222222222,-1.7105,0.59369
0.186,0.616969696969697,0.22872,13.105,0.481344444444444,0.616511111111111,-1.6605,0.66063
0.187,0.617454545454546,0.22564,12.928,0.4783,0.617455555555556,-1.6092,0.72198
0.188,0.617878787878788,0.22251,12.749,0.4751,0.618077777777778,-1.5567,0.77782
0.189,0.618212121212121,0.21934,12.567,0.471766666666667,0.618388888888889,-1.5033,0.82822
0.19,0.618484848484848,0.21613,12.384,0.468311111111111,0.618388888888889,-1.4491,0.87326
0.191,0.618666666666667,0.21291,12.199,0.464755555555556,0.6181,-1.3941,0.91302
0.192,0.618757575757576,0.20967,12.013,0.461088888888889,0.617544444444444,-1.3386,0.94758
0.193,0.618787878787879,0.20643,11.828,0.457355555555556,0.616711111111111,-1.2828,0.97701
