% Lin-ZIM System
% X = 0.2089, X' = 0.0446, T_0 = 0.0963, M = 0.0139, G_s = 4.1358, B_s = 2.8004, E_0 = 1.0750, δ_0 = -0.3689
% x0 = [1.0750, -0.3689, 364.381]
% u_0 = 1
% t, ΔP, ΔQ, ΔV
0.329,8.49412999889203,5.711649673572443,0.0165
0.33,8.484282738192894,5.707362630101809,0.0165
0.331,8.474480878970908,5.702973777678653,0.0165
0.332,8.464738895017996,5.698494561455302,0.0165
0.333,8.455070573317602,5.693936112302322,0.0165
0.334,8.44548901895978,5.689309241048436,0.0165
0.335,8.436006660991673,5.684624433486045,0.0165
0.336,8.426635259155754,5.679891846119641,0.0165
0.337,8.417385911468553,5.675121302634067,0.0165
0.338,8.40826906259323,5.6703222910593345,0.0165
0.339,8.399294512959822,5.665503961608499,0.0165
0.34,8.390471428587665,5.660675125164892,0.0165
0.341,8.381808351565187,5.655844252394942,0.0165
0.342,8.373313211142975,5.651019473462672,0.0165
0.343,8.36499333539671,5.64620857832199,0.0165
0.344,8.35685546341757,5.64141901756287,0.0165
0.345,8.348905757988305,5.6366579037875395,0.0165
0.346,8.341149818704245,5.631932013492947,0.0165
0.347,8.333592695499377,5.6272477894358115,0.0165
0.348,8.326238902538488,5.622611343456807,0.0165
0.349,8.319092432437495,5.61802845974053,0.0165
0.35,8.312156770774877,5.613504598488202,0.0165
0.351,8.305434910858363,5.609044899980236,0.0165
0.352,8.298929368711873,5.604654189006136,0.0165
0.353,8.292642198248862,5.60033697963945,0.0165
0.354,8.28657500659927,5.596097480335853,0.0165
0.355,8.280728969558286,5.591939599332774,0.0165
0.356,8.275104847126377,5.5878669503293885,0.0165
0.357,8.269702999110896,5.583882858426128,0.0165
0.358,8.264523400760897,5.57999036630332,0.0165
0.359,8.259565658407757,5.576192240618995,0.0165
0.36,8.254829025085339,5.572490978606324,0.0165
0.361,8.250312416104537,5.568888814851623,0.0165
0.362,8.246014424558133,5.565387728234313,0.0165
